Notes,Score,Evidence,,
"Question 3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,https://github.com/psvkaushik/Group50_Proj2,,
Question 4.1: Is your documentation clearly available on your website or within your software?,Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main/docs,,
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/docs/Quick_start_guide.md,,
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,https://github.com/psvkaushik/Group50_Proj2#installation-setup,,
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main/docs,,
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/docs/Troubleshooting_guide.md,,
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",N/A,,,
Question 4.7: Do you store your documentation under revision control with your source code?,Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main/docs,,
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,https://github.com/psvkaushik/Group50_Proj2/releases,,
Question 5.1: Does your software describe how a user can get help with using your software?,Yes,https://github.com/psvkaushik/Group50_Proj2#about-gits31,,
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,https://github.com/psvkaushik/Group50_Proj2#contact-us,,
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?,Yes,https://github.com/psvkaushik/Group50_Proj2#contact-us,,
Question 5.4: Are e-mails to your support e-mail address received by more than one person?,Yes,https://github.com/psvkaushik/Group50_Proj2#contact-us,,
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Yes,https://github.com/psvkaushik/Group50_Proj2/issues,,
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,https://github.com/psvkaushik/Group50_Proj2/issues,,
Question 6.1: Is your software’s architecture and design modular?,Yes,https://github.com/psvkaushik/Group50_Proj2,,
Question 6.2: Does your software use an accepted coding standard or convention?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/.github/workflows/Style_Checker_and_Prettify_Code.yml,,
"Question 7.1: Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Yes,https://github.com/psvkaushik/Group50_Proj2,,
Question 7.2: Does your software allow communications using open communications protocols?,Yes,https://github.com/psvkaushik/Group50_Proj2,,
Question 8.1: Is your software cross-platform compatible?,Yes,https://github.com/psvkaushik/Group50_Proj2,,
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?,Yes,https://github.com/psvkaushik/Group50_Proj2,,
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,https://github.com/psvkaushik/Group50_Proj2,,
Question 10.1: Is your source code stored in a repository under revision control?,Yes,https://github.com/psvkaushik/Group50_Proj2/releases,,
Question 10.2: Is each source code release a snapshot of the repository?,Yes,https://github.com/psvkaushik/Group50_Proj2/releases,,
Question 10.3: Are releases tagged in the repository?,Yes,https://github.com/psvkaushik/Group50_Proj2/releases,,
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,https://github.com/psvkaushik/Group50_Proj2,,
Question 10.5: Do you back-up your repository?,Yes,https://github.com/psvkaushik/Group50_Proj2#gits31---iris-ideal-repository-for-software-projects,Zenodo,
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?,Yes,https://github.com/psvkaushik/Group50_Proj2#installation-setup,,
"Question 11.2: Can you build, or package, your software using an automated tool?",No,Not implemented but user can use Docker,,
Question 11.3: Do you provide publicly-available instructions for deploying your software?,Yes,https://github.com/psvkaushik/Group50_Proj2#installation-setup,,
Question 11.4: Does your documentation list all third-party dependencies?,Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main#third-party-dependencies,,
Question 11.5: Does your documentation list the version number for all third-party dependencies?,Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main#third-party-dependencies,,
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main#third-party-dependencies,,
Question 11.7: Can you download dependencies using a dependency management tool or package manager?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/setup.sh,,
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,https://github.com/psvkaushik/Group50_Proj2/actions/workflows/build_test.yaml,,
Question 12.1: Do you have an automated test suite for your software?,Yes,https://github.com/psvkaushik/Group50_Proj2/actions/workflows/build_test.yaml,,
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,Yes,https://github.com/psvkaushik/Group50_Proj2/actions/workflows/build_test.yaml,,
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,https://github.com/psvkaushik/Group50_Proj2/actions,,
Question 12.4: Are your test results publicly visible?,Yes,https://github.com/psvkaushik/Group50_Proj2/actions,,
Question 12.5: Are all manually-run tests documented?,Yes,,,
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,,,
Question 13.2: Does your website state how many projects and users are associated with your project?,Yes,https://github.com/psvkaushik/Group50_Proj2/graphs/contributors,,
Question 13.3: Do you provide success stories on your website?,No,,,
Question 13.4: Do you list your important partners and collaborators on your website?,Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main#contributors,,
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?,No,,,
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main#third-party-dependencies,,
Question 13.7: Can users subscribe to notifications to changes to your source code repository?,No,,,
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/CONTRIBUTION.md,,
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/CONTRIBUTION.md,,
Question 14.2: Do you have a contributions policy?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/CONTRIBUTION.md,,
Question 14.3: Is your contributions' policy publicly available?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/CONTRIBUTION.md,,
Question 14.4: Do contributors keep the copyright/IP of their contributions?,NA,,,
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/LICENSE,,
Question 15.2: Does each of your source code files include a copyright statement?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/LICENSE,,
Question 15.3: Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/LICENSE,,
Question 15.4: Is your software released under an open source licence?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/LICENSE,,
Question 15.5: Is your software released under an OSI-approved open-source licence?,Yes (MIT),https://github.com/psvkaushik/Group50_Proj2/blob/main/LICENSE,,
Question 15.6: Does each of your source code files include a licence header?,Yes,https://github.com/psvkaushik/Group50_Proj2/tree/main/src,,
Question 15.7: Do you have a recommended citation for your software?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/CITATION.cff,,
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,https://github.com/psvkaushik/Group50_Proj2/tree/main#road-map-ahead,,
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,,,
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No,,,
